id,composer,composition,movement,ensemble,catalog_name,seconds
1788,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,K465,513
1789,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,K465,461
1790,Mozart,String Quartet No 19 in C major,3. Menuetto. Allegro,String Quartet,K465,323
1791,Mozart,String Quartet No 19 in C major,4. Allegro molto,String Quartet,K465,351
1792,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,K465,472
1793,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,K465,504
2138,Brahms,String Quartet in C minor, 2. Romanze: Poco adagio,String Quartet,OP51NO1,429
2140,Brahms,String Quartet in C minor, 4. Allegro,String Quartet,OP51NO1,381
2177,Ravel,String Quartet in F,1. Allegro moderato - tres doux, String Quartet,35,490
2178,Ravel,String Quartet in F,2. Asser vif - tres rythme, String Quartet,35,355
2179,Ravel,String Quartet in F,3. Tres lent, String Quartet,35,505
2180,Ravel,String Quartet in F,4. Vif et agite, String Quartet,35,293
